visitor_id,lastpurchasetime,recency,frequency,monetary
1,2019-02-09 13:07:42.611,4,3,4
2,2019-02-11 23:37:59.533,2,5,4
3,2019-02-09 19:49:39.239,4,3,1
4,2019-02-11 18:45:20.279,2,1,1
5,2019-02-11 14:07:52.022,2,3,1
6,2019-02-12 09:18:21.873,1,2,2
7,2019-02-12 17:16:50.420,1,2,4
8,2019-02-12 17:54:37.310,1,4,3
9,2019-02-10 11:43:22.541,3,3,1
10,2019-02-08 21:40:29.988,5,4,3
11,2019-02-08 20:40:47.135,5,4,3
12,2019-02-12 20:29:04.315,1,2,3
13,2019-02-11 20:49:34.823,2,1,2
14,2019-02-10 14:50:18.910,3,2,3
15,2019-02-09 23:17:21.052,4,3,5
16,2019-02-12 17:34:02.347,1,4,4
17,2019-02-10 15:32:05.935,3,1,1
18,2019-02-10 22:36:55.333,3,4,4
19,2019-02-11 01:56:30.765,3,2,1
20,2019-02-11 15:33:22.286,2,5,5
21,2019-02-10 12:24:11.194,3,1,3
22,2019-02-10 11:33:47.636,3,3,4
23,2019-02-11 14:25:04.691,2,3,3
24,2019-02-08 16:53:47.414,5,4,2
25,2019-02-08 12:38:07.559,5,5,4
26,2019-02-12 02:13:50.425,2,4,2
27,2019-02-12 20:07:50.259,1,2,1
28,2019-02-09 16:41:37.205,4,4,5
29,2019-02-09 08:10:38.044,4,1,2
30,2019-02-12 21:12:41.900,1,3,4
31,2019-02-11 12:24:47.072,2,5,5
32,2019-02-12 15:56:11.788,1,3,3
33,2019-02-12 16:53:43.402,1,1,1
34,2019-02-11 21:26:00.399,2,5,4
35,2019-02-06 20:59:25.313,5,3,5
36,2019-02-10 15:27:27.961,3,2,2
37,2019-02-09 13:17:38.219,4,2,4
38,2019-02-11 13:38:50.209,2,1,4
39,2019-02-12 12:50:09.659,1,3,1
40,2019-02-10 16:55:00.949,3,1,1
41,2019-02-07 14:46:47.058,5,2,4
42,2019-02-11 21:07:59.026,2,1,2
43,2019-02-11 15:38:21.847,2,2,1
44,2019-02-10 17:45:42.826,3,3,4
45,2019-02-07 18:59:29.763,5,2,2
46,2019-02-12 13:12:45.295,1,1,4
47,2019-02-08 15:14:17.931,5,2,2
48,2019-02-11 18:17:25.653,2,3,4
49,2019-02-07 03:42:29.615,5,2,3
50,2019-02-09 17:28:13.267,4,2,5
51,2019-02-11 19:21:12.096,2,5,4
52,2019-02-12 19:38:01.654,1,4,5
53,2019-02-10 11:59:59.667,3,5,4
54,2019-02-08 23:04:14.205,5,4,3
55,2019-02-11 11:37:22.281,2,1,2
56,2019-02-12 11:15:47.843,1,1,2
57,2019-02-11 09:10:12.844,2,3,3
58,2019-02-09 17:41:35.720,4,2,1
59,2019-02-09 18:44:22.827,4,2,1
60,2019-02-07 20:52:26.374,5,5,3
61,2019-02-11 12:06:08.311,2,5,5
62,2019-02-10 00:18:23.529,4,4,4
63,2019-02-11 23:30:16.722,2,3,4
64,2019-02-12 00:21:09.141,2,2,1
65,2019-02-10 16:13:39.023,3,3,2
66,2019-02-09 21:26:57.641,4,1,3
67,2019-02-11 09:09:16.580,2,4,1
68,2019-02-09 17:38:28.215,4,3,5
69,2019-02-12 12:06:34.977,1,3,2
70,2019-02-10 13:34:21.841,3,2,3
71,2019-02-07 16:18:54.463,5,4,5
72,2019-02-09 22:26:28.683,4,2,2
